"ClassName","Class","Parameter","ParameterLong","ParameterDescription","Phase","PhaseSpecific","StatCategory","Estimate","se","p"
"Double-Double",2,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-0.734222840382133,0.127500978826259,8.48313456720012e-09
"Double-Double",2,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Defender",1,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",0.836373575477343,0.0538690597201558,2.31197973066132e-54
"Pass First",6,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",0.305460166751995,0.074597691951245,4.2259317247723e-05
"Defender",1,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Moneyball",8,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",0.164939582285747,0.0470119389037731,0.000450706297487993
"Double-Double",2,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Painter",3,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-0.321280998662211,0.0537066592831515,2.20218714001316e-09
"Jumper",9,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-0.0609147379351834,0.052975869520806,0.250202279837727
"Defender",1,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Pass First",6,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",0.623753595132124,0.0584849752689198,1.48090010369898e-26
"Moneyball",8,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Jumper",9,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Triple-Double",10,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-1.03505881371422,0.420504702921032,0.0138369792316072
"Double-Double",2,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-0.996989350926837,0.132878020951206,6.23536380396339e-14
"Triple-Double",10,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Anywhere",7,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Pass First",6,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Defender",1,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",0.276687601282029,0.0581892441650545,1.9848448219021e-06
"Anywhere",7,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",0.0524000050912503,0.0783956594422502,0.50387547637748
"Center",4,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-0.618409161935524,0.0997358856746106,5.62955261587111e-10
"Painter",3,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Big Jump",5,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Center",4,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Variances",0.834408567964519,0.0229704635302568,6.45574153832327e-289
"Big Jump",5,"AVG_SPEED_OFF","Speed Off","Average speed on offense per game","Offense","Movement","Means",-0.160457213308646,0.0866174031527678,0.0639565851654797
"Anywhere",7,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Painter",3,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",1.271927445934,0.0638286784216841,2.36379693175707e-88
"Center",4,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",1.09365085537851,0.124401850451777,1.47872359432889e-18
"Moneyball",8,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.461123368845351,0.0266743893655167,5.88184926549376e-67
"Triple-Double",10,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Pass First",6,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Painter",3,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Jumper",9,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Double-Double",2,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",0.936813107052112,0.0904376147065193,3.82253152726066e-25
"Double-Double",2,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Moneyball",8,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Jumper",9,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.453264498264641,0.0275557987593351,8.53070796721785e-61
"Triple-Double",10,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.338617140965725,0.106989336379974,0.00155103420994029
"Pass First",6,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.620785118755393,0.0215391274917296,1.16117499996461e-182
